,subject,body,from,has_attachment,category,priority
0,Question about your pricing plans,"Hi there, I’ve been reviewing the different plans on your website and I’m particularly interested in the Premium package for our growing team. We currently have around 25 employees who would need access, and I wanted to better understand the pricing structure, onboarding process, and whether there are any discounts available for annual billing. Could you also send over a detailed quote along with information about included support and integrations? Thanks in advance, and I look forward to hearing from you soon.",john@example.com,False,inquiry,low
1,Broken product - need refund,"Hello, I received Order #12345 earlier today and unfortunately the product arrived badly damaged. The outer packaging looked crushed when it was delivered, and after opening the box I noticed that several parts inside were cracked and unusable. I’ve attached photos showing the damage for reference. This was purchased for an upcoming event, so this is extremely frustrating. Please let me know the next steps for receiving a full refund or replacement as soon as possible.",jane@example.com,True,complaint,high
2,Schedule a demo,"Good afternoon, our company is currently evaluating several CRM platforms to improve our sales and customer onboarding workflows. Your solution was recommended by one of our partners, and we’d like to learn more about its automation features, reporting capabilities, and integrations with existing tools like Slack and HubSpot. Would it be possible to schedule a 30-minute live demo sometime next week for our operations and sales managers? Please share your availability and any preparation materials beforehand.",sales@bigcorp.com,False,inquiry,low
3,I want to cancel my subscription,"Hello support team, I’d like to request the cancellation of my monthly subscription effective immediately. While I’ve appreciated using the platform over the past few months, our team is reducing expenses and we no longer need the service at this time. Please confirm that no future charges will be processed and let me know whether there are any additional steps required on my side. I’d also appreciate confirmation once the cancellation has been completed.",bob@example.com,False,support_ticket,high
4,Technical support needed,"Hi team, we’ve been experiencing repeated issues with your API since early this morning. Several endpoints are intermittently returning HTTP 500 errors, which is causing failures in our production environment and disrupting customer transactions. We’ve already checked our authentication tokens and request payloads, so it appears to be server-side. I’ve attached screenshots and logs from our monitoring system to help with troubleshooting. Could someone investigate this urgently and provide an update on the issue?",dev@startup.com,True,support_ticket,high
5,Payment confirmation for Invoice #4582,"Hello, this is to confirm that payment for Invoice #4582 was processed earlier today via bank transfer. I’ve attached the payment confirmation receipt along with the remittance details for your records. Please verify that the funds have been received successfully and let us know if any additional documentation is required from our side. We would appreciate a confirmation email once the invoice status has been updated in your system.",finance@acmecorp.com,True,inquiry,low
6,Unable to login to dashboard,"Good morning, several members of our internal team have been unable to access the dashboard since yesterday afternoon. Users are reporting that they either receive a timeout error after entering their credentials or get redirected back to the login page repeatedly. We’ve already tried clearing browser cache, testing different devices, and resetting passwords, but the issue is still ongoing. Since this is impacting our daily reporting workflow, we’d appreciate urgent assistance in resolving the problem.",it@northwind.com,False,support_ticket,high
7,Request for partnership opportunity,"Hello, I’m reaching out on behalf of Venture Group because we believe there may be an exciting opportunity for our companies to collaborate strategically. We’ve been following your recent growth and product expansion closely, and we think there could be strong alignment between your platform and our network of enterprise clients. We’d love to schedule an introductory call to discuss potential partnership opportunities, joint initiatives, and ways we might support each other’s business goals moving forward.",ceo@venturegroup.io,False,inquiry,low
8,Missing items in shipment,"Hi logistics team, we received the shipment associated with our latest purchase order this morning, but after checking the inventory against the packing list we discovered that 12 units are missing from the delivery. We’ve double-checked all pallets and boxes to make sure nothing was overlooked. Attached are photos of the shipment contents and the signed delivery paperwork. Please investigate this discrepancy and advise whether the missing items will be shipped separately or credited back to our account.",warehouse@retailhub.com,True,complaint,high
9,Resume submission for Data Analyst role,"Dear Hiring Team, I’m writing to express my interest in the Data Analyst position currently listed on your careers page. I have over three years of experience working with SQL, Python, Tableau, and business intelligence reporting, primarily in the e-commerce and healthcare sectors. Attached you’ll find my resume and cover letter outlining my background and recent projects in greater detail. I’d appreciate the opportunity to discuss how my analytical and reporting skills could contribute to your team.",candidate@gmail.com,True,sales_lead,low
10,Refund still not processed,"Hello, I’m following up again regarding the refund request I submitted over two weeks ago for my canceled order. I was originally told that the refund would be processed within 5–7 business days, but I still haven’t received the funds back to my account and I haven’t received any updates either. This delay has been extremely frustrating, especially since I’ve already contacted support multiple times. Please provide an immediate update on the status of the refund and when I can expect it to be completed.",angrycustomer@yahoo.com,False,complaint,high
11,Can you upgrade our account?,"Hi support, our organization is planning to expand usage of your platform across multiple departments next quarter, and we’d like to upgrade from the Standard plan to the Enterprise package starting next month. Before moving forward, we’d appreciate details about pricing adjustments, additional features included with Enterprise, user limits, and whether migration assistance is available during the transition. Please let us know the process and timeline required to complete the upgrade smoothly.",admin@globaltech.com,False,sales_lead,medium
12,Security concern regarding account access,"Good morning, our security monitoring system detected several suspicious login attempts on our account earlier today from unfamiliar IP addresses and locations outside our organization. While no unauthorized changes appear to have been made yet, we are concerned that the account may have been targeted. We’ve attached screenshots from our audit logs showing the failed login activity. Please investigate this matter urgently and advise whether additional security measures, such as forced password resets or MFA enforcement, should be enabled immediately.",security@fintrust.com,True,support_ticket,high
13,Follow-up on proposal,"Hi there, I just wanted to follow up regarding the proposal we shared with your team last week for the consulting engagement. We understand these decisions take time, but I wanted to check whether you’ve had an opportunity to review the document internally and if there are any questions or revisions you’d like to discuss. We’re very excited about the possibility of working together and would be happy to schedule a quick call to go over the next steps whenever convenient.",maria@consultingpro.com,True,sales_lead,medium
